Symbol,GeneID,Raw counts
CLCN6,1185,6
NPPA-AS1,100379251,0
NPPA,4878,0
NPPB,4879,0
RNU5E-1,26829,0
KIAA2013,90231,2
PLOD1,5351,156
MFN2,9927,73
MIIP,60672,3
MIR6729,102466982,0
TNFRSF8,943,0
MIR7846,102465836,0
TNFRSF1B,7133,0
MIR4632,100616438,0
VPS13D,55187,5
SNORA59A,677885,3
DHRS3,9249,14
MIR6730,102466722,0
AADACL4,343066,0
AADACL3,126767,0
CFAP107,93190,0
PRAMEF12,390999,0
PRAMEF1,65121,0
PRAMEF11,440560,0
HNRNPCL1,343069,0
PRAMEF2,65122,0
PRAMEF4,400735,0
PRAMEF10,343071,0
PRAMEF7,441871,0
PRAMEF6,440561,0
PRAMEF22,653606,0
PRAMEF28P,102724742,0
PRAMEF27,101929983,0
HNRNPCL3,649330,0
PRAMEF25,441873,0
PRAMEF34P,649324,0
HNRNPCL2,440563,0
PRAMEF36P,645354,0
PRAMEF26,645359,0
HNRNPCL4,101060301,0
PRAMEF9,343070,0
PRAMEF13,400736,0
PRAMEF18,391003,0
PRAMEF5,343068,0
PRAMEF8,391002,0
PRAMEF33,645382,0
PRAMEF15,653619,0
PRAMEF14,729528,0
PRAMEF19,645414,0
PRAMEF17,391004,0
PRAMEF20,645425,0
LRRC38,126755,0
PDPN,10630,29
PRDM2,7799,6
KAZN,23254,2
TMEM51-AS1,200197,0
TMEM51,55092,3
TMEM51-AS2,727684,0
FHAD1,114827,0
FHAD1-AS1,101927417,0
EFHD2,79180,6
CTRC,11330,0
CELA2A,63036,0
CELA2B,51032,0
CASP9,842,5
DNAJC16,23341,0
AGMAT,79814,8
DDI2,84301,0
RSC1A1,6248,0
PLEKHM2,23207,12
SLC25A34,284723,0
TMEM82,388595,0
FBLIM1,54751,13
UQCRHL,440567,291
SPEN-AS1,729614,5
SPEN,23013,11
ZBTB17,7709,1
TBC1D3P6,101928566,0
SRARP,149563,0
HSPB7,27129,0
CLCNKA,1187,0
CLCNKB,1188,0
FAM131C,348487,0
EPHA2,1969,14
ARHGEF19,128272,7
ANO7L1,101927546,0
CPLANE2,79363,0
FBXO42,54455,6
SZRD1,26099,38
SPATA21,374955,0
NECAP2,55707,91
CROCCP3,114819,1
RNU1-1,26871,3
TRG-CCC1-1,7195,1
NBPF1,55672,1
CROCCP2,84809,0
MST1P2,11209,1
RNU1-3,26869,4
ESPNP,284729,0
TRG-CCC5-1,100189045,0
RNU1-4,6060,4
MST1L,11223,1
MIR3675,100500876,0
TRG-CCC1-2,100189298,1
TRE-TTC3-1,7193,0
TRN-GTT4-1,791226,0
CROCC,9696,1
RNU1-2,26870,3
MFAP2,4237,22
ATP13A2,23400,1
SDHB,6390,405
PADI2,11240,1
PADI1,29943,17
PADI3,51702,0
MIR3972,100616188,0
PADI4,23569,0
PADI6,353238,0
RCC2,55920,21
ARHGEF10L,55160,3
ACTL8,81569,0
LINC01654,101927876,0
IGSF21,84966,0
KLHDC7A,127707,4
PAX7,5081,0
TAS1R2,80834,0
ALDH4A1,8659,9
MIR4695,100616120,0
MIR1290,100302276,0
IFFO2,126917,7
UBR4,23352,36
EMC1,23065,20
MRTO4,51154,20
AKR7L,246181,0
AKR7A3,22977,0
LOC100506730,100506730,3
AKR7A2,8574,4
SLC66A1,54896,5
CAPZB,832,199
MICOS10-NBL1,100532736,0
MICOS10,440574,103
RPS14P3,644068,3413
NBL1,4681,0
HTR6,3362,0
TMCO4,255104,7
RNF186,54546,0
OTUD3,23252,2
PLA2G2E,30814,0
PLA2G2A,5320,0
PLA2G5,5322,0
PLA2G2D,26279,0
PLA2G2F,64600,81
PLA2G2C,391013,0
UBXN10,127733,0
VWA5B1,127731,0
LINC01141,339505,0
CAMK2N1,55450,52
MUL1,79594,16
FAM43B,163933,2
CDA,978,252
PINK1,65018,3
MIR6084,102464833,0
PINK1-AS,100861548,1
DDOST,1650,130
KIF17,57576,0
SH2D5,400745,2
HP1BP3,50809,33
EIF4G3,8672,66
MIR1256,100302155,0
ECE1,1889,12
ECE1-AS1,100506801,0
NBPF3,84224,1
ALPL,249,0
RAP1GAP,5909,0
USP48,84196,11
LDLRAD2,401944,0
HSPG2,3339,0
CELA3B,23436,0
CELA3A,10136,0
LINC01635,101928043,0
LINC00339,29092,14
CDC42,998,132
WNT4,54361,5
MIR4418,100616433,0
ZBTB40,9923,1
EPHA8,2046,0
MIR6127,102466615,0
C1QA,712,0
C1QC,714,0
C1QB,713,0
EPHB2,2048,4
MIR4684,100616391,0
MIR4253,100422914,0
LACTBL1,646262,0
TEX46,729059,0
KDM1A,23028,30
MIR3115,100422866,0
LUZP1,7798,10
HTR1D,3352,0
LINC01355,100996511,0
HNRNPR,10236,48
ZNF436,80818,2
ZNF436-AS1,148898,0
TCEA3,6920,48
ASAP3,55616,7
E2F2,1870,1
LOC101928163,101928163,0
ID3,3399,4
MDS2,259283,0
RPL11,6135,2554
ELOA,6924,27
ELOA-AS1,100506963,6
PITHD1,57095,9
LYPLA2,11313,44
GALE,2582,49
HMGCL,3155,96
FUCA1,2517,0
CNR2,1269,0
MIR378F,100616492,0
PNRC2,55629,17
SRSF10,10772,26
MYOM3,127294,0
IL22RA1,58985,24
IFNLR1,163702,4
LINC02800,284632,0
GRHL3,57822,150
STPG1,90529,20
NIPAL3,57185,39
RCAN3AS,100750325,0
RCAN3,11123,0
NCMAP-DT,100506985,0
NCMAP,400746,0
SRRM1,10250,10
CLIC4,25932,50
RUNX3,864,0
MIR6731,102465437,0
MIR4425,100616365,0
SYF2,25949,176
RSRP1,57035,3
RHD,6007,0
TMEM50A,23585,163
RHCE,6006,0
MACO1,55219,9
LDLRAP1,26119,5
MAN1C1,57134,3
SELENON,57190,10
MTFR1L,56181,11
LOC646471,646471,0
AUNIP,79000,0
PAQR7,164091,4
STMN1,3925,49
MIR3917,100500808,0
PAFAH2,5051,9
EXTL1,2134,0
SLC30A2,7780,0
LOC105376910,105376910,0
TRIM63,84676,0
PDIK1L,149420,8
FAM110D,79927,0
ZNF593,51042,13
CNKSR1,10256,3
CATSPER4,378807,0
ZPLD2P,101928303,0
CEP85,64793,0
SH3BGRL3,83442,1232
UBXN11,91544,0
CD52,1043,0
CRYBG2,55057,45
ZNF683,257101,0
LIN28A,79727,0
DHDDS,79947,39
DHDDS-AS1,101928324,1
HMGN2,3151,126
RPS6KA1,6195,3
MIR1976,100302190,0
LOC101928728,101928728,0
ARID1A,8289,9
PIGV,55650,15
ZDHHC18,84243,2
SFN,2810,269
GPN2,54707,4
GPATCH3,63906,2
NUDC,10726,29
NR0B2,8431,0
KDF1,126695,12
TRNP1,388610,6
TENT5B,115572,15
SLC9A1,6548,11
WDTC1,23038,5
TMEM222,84065,61
ACTG1P20,644961,13
RNU6-48P,100887744,0
SYTL1,84958,2
MAP3K6,9064,1
FCN3,8547,0
CD164L2,388611,0
GPR3,2827,0
WASF2,10163,12
AHDC1,27245,2
FGR,2268,0
IFI6,2537,16
FAM76A,199870,8
STX12,23673,85
PPP1R8,5511,9
SCARNA1,677774,1
THEMIS2,9473,0
RPA2,6118,30
SMPDL3B,27293,0
XKR8,55113,6
EYA3,2140,1
PTAFR,5724,0
DNAJC8,22826,47
ATP5IF1,93974,355
SESN2,83667,4
MED18,54797,57
PHACTR4,65979,24
RCC1,1104,42
SNHG3,8420,5
SNORA73A,6080,0
SNORA73B,26768,0
TRNAU1AP,54952,65
SNHG12,85028,0
SNORD99,692212,2
SNORA61,677838,1
SNORA44,677825,2
SNORA16A,692073,0
RAB42,115273,0
TAF12,6883,57
RNU11,26824,0
GMEB1,10691,7
YTHDF2,51441,32
OPRD1,4985,0
EPB41,2035,1
TMEM200B,399474,0
SRSF4,6429,5
MECR,51102,32
PTPRU,10076,5
LINC01756,101928460,0
LINC01648,101929406,0
MATN1,4146,0
MATN1-AS1,100129196,0
LAPTM5,7805,0
MIR4420,100616164,0
LOC400748,400748,0
SDC3,9672,0
PUM1,9698,56
SNORD103A,692234,0
SNORD103B,692235,0
SNORD103C,692200,0
NKAIN1,79570,0
SNRNP40,9410,6
ZCCHC17,51538,116
FABP3,2170,2
SERINC2,347735,286
LDC1P,149086,0
LINC01226,284551,0
TINAGL1,64129,6
HCRTR1,3061,0
PEF1,553115,30
COL16A1,1307,1
ADGRB2,576,0
MIR4254,100423028,0
SPOCD1,90853,1
PTP4A2,8073,15
KHDRBS1,10657,26
TMEM39B,55116,22
MIR5585,100847018,0
KPNA6,23633,23
TXLNA,200081,8
CCDC28B,79140,2
TMEM234,56063,2
IQCC,55721,4
DCDC2B,149069,0
EIF3I,8668,229
MTMR9LP,339483,0
FAM167B,84734,0
LCK,3932,0
HDAC1,3065,149
MARCKSL1,65108,12
FAM229A,100128071,0
TSSK3,81629,0
BSDC1,55108,33
ZBTB8B,728116,0
ZBTB8A,653121,5
ZBTB8OS,339487,18
RBBP4,5928,12
SYNC,81493,0
KIAA1522,57648,17
YARS1,8565,113
S100PBP,64766,1
FNDC5,252995,0
HPCA,3208,0
TMEM54,113452,6
RNF19B,127544,25
AK2,204,68
AZIN2,113451,0
TRIM62,55223,1
ZNF362,149076,0
A3GALT2,127550,0
PHC2,1912,11
MIR3605,100500853,0
PHC2-AS1,101929464,0
ZSCAN20,7579,1
CSMD2,114784,0
HMGB4,127540,0
CSMD2-AS1,402779,0
C1orf94,84970,0
MIR552,693137,0
GJB5,2709,98
GJB4,127534,18
GJB3,2707,33
GJA4,2701,0
SMIM12,113444,20
DLGAP3,58512,0
GPR199P,653160,0
TMEM35B,100506144,39
ZMYM6,9204,2
ZMYM1,79830,10
SFPQ,6421,57
ZMYM4,9202,13
KIAA0319L,79932,20
NCDN,23154,3
TFAP2E,339488,0
PSMB2,5690,424
C1orf216,127703,3
CLSPN,63967,9
AGO4,192670,3
AGO1,26523,7
AGO3,192669,2
TEKT2,27285,0
ADPRS,54936,10
COL8A2,1296,0
TRAPPC3,27095,55
MAP7D1,55700,18
THRAP3,9967,42
SH3D21,79729,2
EVA1B,55194,0
STK40,83931,3
LSM10,84967,30
OSCP1,127700,12
MRPS15,64960,137
CSF3R,1441,0
GRIK3,2899,0
MIR4255,100422898,0
ZC3H12A-DT,728431,10
ZC3H12A,80149,4
MIR6732,102465438,0
MEAF6,64769,100
MIR5581,100847010,0
SNIP1,79753,2
DNALI1,7802,6
GNL2,29889,41
RSPO1,284654,0
C1orf109,54955,7
CDCA8,55143,7
EPHA10,284656,0
MANEAL,149175,4
YRDC,79693,1
C1orf122,127687,13
MTF1,4520,11
INPP5B,3633,1
SF3A3,10946,10
FHL3,2275,1
UTP11,51118,134
POU3F1,5453,2
MIR3659,100500801,0
LINC01343,339442,0
RRAGC,64121,7
GJA9-MYCBP,100527950,0
MYCBP,26292,2
GJA9,81025,0
RHBDL2,54933,33
AKIRIN1,79647,7
NDUFS5,4725,438
MACF1,23499,109
BMP8A,353500,1
PPIEL,728448,1
PABPC4,8761,26
PABPC4-AS1,101929516,0
SNORA55,677834,1
HEYL,26508,0
NT5C1A,84618,0
HPCAL4,51440,0
PPIE,10450,57
BMP8B,656,0
OXCT2,64064,1
LOC101929536,101929536,0
TRIT1,54802,33
MYCL,4610,4
MFSD2A,84879,0
CAP1,10487,136
PPT1,5538,41
RLF,6018,5
TMCO2,127391,0
ZMPSTE24,10269,47
COL9A2,1298,0
SMAP2,64744,10
ZFP69B,65243,0
ZFP69,339559,0
EXO5,64789,0
ZNF684,127396,1
RIMS3,9783,0
NFYC-AS1,100130557,0
NFYC,4802,17
MIR30E,407034,0
MIR30C1,407031,0
KCNQ4,9132,0
CITED4,163732,3
CTPS1,1503,89
SLFNL1-AS1,100507178,0
SLFNL1,200172,0
SCMH1,22955,9
FOXO6,100132074,0
EDN2,1907,3
HIVEP3,59269,2
GUCA2B,2981,0
GUCA2A,2980,0
FOXJ3,22887,9
RIMKLA,284716,0
ZMYND12,84217,0
PPCS,79717,94
CCDC30,728621,0
PPIH,10465,1
YBX1,4904,85
CLDN19,149461,0
P3H1,64175,0
C1orf50,79078,17
TMEM269,100129924,0
SVBP,374969,12
ERMAP,114625,6
ZNF691,51058,5
LOC339539,339539,0
SLC2A1,6513,74
SLC2A1-DT,440584,7
FAM183A,440585,7
EBNA1BP2,10969,102
MIR6733,102465439,0
CFAP57,149465,0
TMEM125,128218,3
C1orf210,149466,3
TIE1,7075,0
MPL,4352,0
CDC20,991,7
ELOVL1,64834,98
MIR6734,102466723,0
MED8,112950,47
SZT2,23334,0
MIR6735,102465440,0
HYI,81888,0
PTPRF,5792,31
KDM4A,9682,32
KDM4A-AS1,100132774,3
ST3GAL3,6487,0
ST3GAL3-AS1,101929592,0
MIR6079,102464830,0
ARTN,9048,1
IPO13,9670,2
DPH2,1802,6
ATP6V0B,533,167
B4GALT2,8704,21
CCDC24,149473,2
SLC6A9,6536,1
KLF17,128209,0
KLF18,105378952,0
DMAP1,55929,8
ERI3,79033,53
ERI3-IT1,100874278,0
RNF220,55182,6
MIR5584,100847089,0
TMEM53,79639,10
ARMH1,339541,0
RNU5F-1,26828,0
RNU5D-1,26830,0
KIF2C,11004,3
RPS8,6202,206
SNORD55,26811,2
SNORD46,94161,2
SNORD38A,94162,0
SNORD38B,94163,0
BEST4,266675,0
PLK3,1263,4
DYNLT4,343521,0
BTBD19,149478,0
PTCH2,8643,0
EIF2B3,8891,37
HECTD3,79654,4
UROD,7389,33
ZSWIM5,57643,1
LINC01144,400752,0
HPDL,84842,0
MUTYH,4595,10
TOE1,114034,0
TESK2,10420,0
CCDC163,126661,0
MMACHC,25974,6
PRDX1,5052,93
AKR1A1,10327,85
"NASP",4678,36
CCDC17,149483,0
GPBP1L1,60313,66
RPS15AP10,728963,7
TMEM69,51249,49
IPP,3652,5
MAST2,23139,0
PIK3R3,8503,2
LOC101929626,101929626,0
TSPAN1,10103,45
POMGNT1,55624,4
LURAP1,541468,0
RAD54L,8438,0
LRRC41,10489,16
UQCRH,7388,79
NSUN4,387338,10
FAAH,2166,0
FAAHP1,729041,2
LINC01398,101929651,0
DMBX1,127343,0
MKNK1-AS1,100507423,0
KNCN,148930,0
MKNK1,8569,10
MOB3C,148932,4
ATPAF1,64756,5
TEX38,374973,0
EFCAB14-AS1,100130197,0
EFCAB14,9813,15
CYP4B1,1580,11
CYP4Z2P,163720,0
CYP4A11,1579,0
CYP4X1,260293,0
CYP4Z1,199974,0
CYP4A22,284541,0
LINC00853,100874253,2
PDZK1IP1,10158,622
TAL1,6886,0
STIL,6491,1
CMPK1,51727,94
LINC01389,102724077,0
FOXE3,2301,0
FOXD2-AS1,84793,2
FOXD2,2306,0
TRABD2B,388630,0
SKINT1L,391037,0
SLC5A9,200010,0
SPATA6,54558,0
AGBL4,84871,0
BEND5,79656,0
AGBL4-AS1,101929721,0
AGBL4-IT1,100874313,0
ELAVL4,1996,0
DMRTA2,63950,0
FAF1,11124,5
CDKN2C,1031,2
MIR4421,100616189,0
MIR6500,102466656,0
C1orf185,284546,0
RNF11,26994,53
TTC39A,22996,3
TTC39A-AS1,102724097,0
EPS15,2060,58
OSBPL9,114883,28
NRDC,4898,268
MIR761,100313892,0
RAB3B,5865,3
TXNDC12,51060,78
KTI12,112970,0
TXNDC12-AS1,104355143,0
BTF3L4,91408,30
ZFYVE9,9372,5
CC2D1B,200014,5
ORC1,4998,0
PRPF38A,84950,6
TUT4,23318,4
GPX7,2882,14
SHISAL2A,348378,0
COA7,65260,21
ZYG11B,79699,0
ZYG11A,440590,0
ECHDC2,55268,102
SCP2,6342,227
PODN,127435,0
SLC1A7,6512,0
CPT2,1376,2
CZIB,54987,35
MAGOH,4116,84
MAGOH-DT,100507564,2
LRP8,7804,1
SLC25A3P1,163742,0
DMRTB1,63948,0
GLIS1,148979,0
NDC1,55706,13
YIPF1,54432,48
DIO1,1733,0
HSPB11,51668,127
LRRC42,115353,39
LDLRAD1,388633,0
TMEM59,9528,881
TCEANC2,127428,11
MIR4781,100616315,0
CDCP2,200008,0
CYB5RL,606495,0
MRPL37,51253,94
SSBP3,23648,0
SSBP3-AS1,619518,0
ACOT11,26027,23
FAM151A,338094,0
MROH7,374977,0
MROH7-TTC4,100527960,0
TTC4,7268,1
PARS2,25973,2
TTC22,55001,17
LEXM,163747,0
DHCR24,1718,107
TMEM61,199964,0
BSND,7809,0
PCSK9,255738,1
USP24,23358,5
LOC100507634,100507634,0
MIR4422,100616272,0
PLPP3,8613,0
PRKAA2,5563,0
FYB2,199920,0
C8A,731,0
C8B,732,0
DAB1,1600,0
DAB1-AS1,101926890,0
OMA1,115209,18
TACSTD2,4070,150
MYSM1,114803,18
JUN,3725,17
LINC01135,100131060,0
LINC01358,101926925,0
HSD52,729467,0
FGGY,55277,39
MIR4711,100616409,0
LOC101926944,101926944,0
HOOK1,51361,17
CYP2J2,1573,8
C1orf87,127795,0
LOC101926964,101926964,0
NFIA-AS2,100996570,0
NFIA,4774,13
NFIA-AS1,645030,0
MGC34796,414927,0
TM2D1,83941,153
PATJ,10207,29
MIR3116-1,100422902,0
MIR3116-2,100422946,0
L1TD1,54596,0
KANK4,163782,0
USP1,7398,15
DOCK7,85440,0
ANGPTL3,27329,0
ATG4C,84938,11
LINC00466,199899,0
FOXD3-AS1,100996301,0
FOXD3,27022,0
MIR6068,102464823,0
ALG6,29929,53
ITGB3BP,23421,36
EFCAB7,84455,23
DLEU2L,79469,0
PGM1,5236,42
ROR1,4919,1
ROR1-AS1,101927034,0
UBE2U,148581,0
CACHD1,57685,1
MIR4794,100616338,0
RAVER2,55225,0
JAK1,3716,4
LINC01359,101927084,0
MIR3671,100500854,0
MIR101-1,406893,0
AK4,205,10
DNAJC6,9829,0
LEPROT,54741,57
LEPR,3953,0
PDE4B,5142,0
PDE4B-AS1,101927139,0
SGIP1,84251,5
MIR3117,100422871,0
DYNLT5,200132,0
INSL5,10022,0
DNAI4,79819,3
MIER1,57708,16
SLC35D1,23169,10
C1orf141,400757,0
IL23R,149233,0
IL12RB2,3595,0
SERBP1,26135,48
GADD45A,1647,19
GNG12,55970,56
GNG12-AS1,100289178,1
DIRAS3,9077,0
WLS,79971,106
MIR1262,100302279,0
RPE65,6121,0
DEPDC1,55635,0
DEPDC1-AS1,101927220,0
LRRC7,57554,0
PIN1P1,5301,0
LRRC40,55631,14
SRSF11,9295,42
ANKRD13C,81573,4
HHLA3,11147,8
CTH,1491,0
LINC01788,101927244,0
PTGER3,5733,0
ZRANB2-AS1,100132618,0
ZRANB2,9406,34
MIR186,406962,0
ZRANB2-DT,100852410,0
NEGR1,257194,0
NEGR1-IT1,100852409,0
LINC01360,101927295,0
LRRIQ3,127255,0
FPGT-TNNI3K,100526835,0
FPGT,8790,6
TNNI3K,51086,0
LRRC53,105378803,0
ERICH3,127254,0
ERICH3-AS1,101927320,0
CRYZ,1429,66
TYW3,127253,35
LHX8,431707,0
SLC44A5,204962,59
ACADM,34,59
DLSTP1,1744,3
RABGGTB,5876,97
SNORD45C,692085,0
SNORD45A,26805,3
SNORD45B,26804,0
MSH4,4438,0
ASB17,127247,0
LOC101927342,101927342,0
ST6GALNAC3,256435,0
ST6GALNAC5,81849,0
MIR7156,102466995,0
PIGK,10026,18
AK5,26289,5
ZZZ3,26009,26
USP33,23032,19
MIGA1,374986,17
NEXN-AS1,374987,0
NEXN,91624,2
FUBP1,8880,114
DNAJB4,11080,3
GIPC2,54810,0
MGC27382,149047,2
PTGFR,5737,1
IFI44L,10964,0
IFI44,10561,17
ADGRL4,64123,4
LINC01781,101927412,0
ADGRL2,23266,32
LOC101927434,101927434,0
LINC01361,101927498,0
LINC01725,101927587,0
LOC101927560,101927560,0
TTLL7,79739,0
PRKACB,5567,0
SAMD13,148418,2
UOX,391051,0
DNASE2B,58511,0
RPF1,80135,51
GNG5,2787,70
SPATA1,100505741,0
CTBS,1486,5
LINC01461,103695366,0
LINC01555,439927,0
SSX2IP,117178,6
LPAR3,23566,12
MCOLN2,255231,0
MCOLN3,55283,1
DNAI3,126820,0
MIR4423,100616481,0
SYDE2,84144,0
C1orf52,148423,27
BCL10,8915,11
BCL10-AS1,646626,0
DDAH1,23576,1
CCN1,3491,6
ZNHIT6,54680,10
COL24A1,255631,0
ODF2L,57489,72
MIR7856,102465842,0
CLCA2,9635,509
CLCA1,1179,0
CLCA4,22802,65
CLCA3P,9629,8
CLCA4-AS1,105378828,0
SH3GLB1,51100,93
SELENOF,9403,208
HS2ST1,9653,9
LINC01140,339524,0
LINC02801,101927844,0
LMO4,8543,39
LINC01364,100505768,0
PKN2-AS1,101927891,0
PKN2,5586,18
GTF2B,2959,88
KYAT3,56267,38
RBMXL1,494115,46
GBP3,2635,4
GBP1,2633,1
GBP2,2634,47
GBP7,388646,0
GBP4,115361,0
GBP5,115362,0
LOC729930,729930,9
GBP6,163351,5
GBP1P1,400759,1
LRRC8B,23507,10
LRRC8C,84230,2
LRRC8C-DT,400761,0
LRRC8D,55144,2
GEMIN8P4,492303,3
ZNF326,284695,19
BARHL2,343472,0
ZNF644,84146,3
HFM1,164045,0
CDC7,8317,2
TGFBR3,7049,0
BRDT,676,0
EPHX4,253152,0
SETSIP,646817,2
BTBD8,284697,0
C1orf146,388649,0
GLMN,11146,50
RPAP2,79871,25
GFI1,2672,0
EVI5,7813,27
RPL5,6125,100
DIPK1A,388650,8
SNORD21,6083,1
SNORA66,26782,0
MTF2,22823,15
TMED5,50999,39
CCDC18,343099,32
CCDC18-AS1,100131564,4
DR1,1810,17
FNBP1L,54874,2
BCAR3,8412,7
BCAR3-AS1,100129046,0
MIR760,100126348,0
TRR-TCT1-1,100189133,0
DNTTIP2,30836,63
GCLM,2730,6
ABCA4,24,0
ARHGAP29,9411,6
ABCD3,5825,2
F3,2152,34
SLC44A3-AS1,101928079,0
MIR378G,100616321,0
SLC44A3,126969,25
CNN3,1266,35
CNN3-DT,729970,1
ALG14,199857,42
ALG14-AS1,101928098,0
TLCD4,148534,1
TLCD4-RWDD3,100527978,0
RWDD3-DT,101928118,0
RWDD3,25950,10
LINC01761,440594,0
LINC02607,100996635,0
LINC02790,102723661,0
LINC01787,101928241,0
PTBP2,58155,4
DPYD,1806,36
DPYD-AS1,100873932,0
DPYD-AS2,100873933,0
MIR137HG,400765,0
MIR2682,100616452,0
MIR137,406928,0
LINC01776,729987,0
SNX7,51375,15
PLPPR5,163404,0
PLPPR5-AS1,100129620,0
PLPPR4,9890,0
LINC01708,101928270,0
PALMD,54873,10
FRRS1,391059,1
AGL,178,4
SLC35A3,23443,6
MFSD14A,64645,64
SASS6,163786,1
TRMT13,54482,4
LRRC39,127495,0
DBT,1629,9
RTCA-AS1,100506007,2
RTCA,8634,29
MIR553,693138,0
CDC14A,8556,0
GPR88,54112,0
LINC01349,100128787,0
VCAM1,7412,0
EXTL2,2135,0
SLC30A7,148867,20
DPH5,51611,35
DPH5-DT,102606465,3
LOC101928334,101928334,0
S1PR1-DT,101928370,0
S1PR1,1901,0
LINC01307,104355286,0
OLFM3,118427,0
DNAJA1P5,94236,0
COL11A1,1301,0
